Tactic,TechniqueName,STRIDE,CIA,STRIDE,CIA3A
Impact,Data Manipulation,Tampering,Integrity,Tampering,Integrity
Impact,Defacement,Tampering,Integrity,Tampering,Integrity
Impact,Disk Wipe,Denial of Service,Availability,Denial of Services,Availability
Impact,Email Bombing,Denial of Service,Availability,Denial of Services,Availability
Impact,Endpoint Denial of Service,Denial of Service,Availability,Denial of Services,Availability
Impact,Financial Theft,Denial of Service,Availability,Denial of Services,Availability
Impact,Firmware Corruption,Denial of Service,Availability,Denial of Services,Availability
Impact,Inhibit System Recovery,Denial of Service,Availability,Denial of Services,Availability
Impact,Network Denial of Service,Denial of Service,Availability,Denial of Services,Availability
Impact,Resource Hijacking,Denial of Service,Availability,Denial of Services,Availability
Impact,Service Stop,Denial of Service,Availability,Denial of Services,Availability
Impact,System Shutdown/Reboot,Denial of Service,Availability,Denial of Services,Availability
