Tactic,TechniqueName,STRIDE,CIA,TechniqueDescription
Resource Development,Acquire Access,Elevation of Privilege,Authorization,
Resource Development,Acquire Infrastructure,Elevation of Privilege,Authorization,
Resource Development,Compromise Accounts,Elevation of Privilege,Authorization,
Resource Development,Compromise Infrastructure,Elevation of Privilege,Authorization,
Resource Development,Develop Capabilities,Elevation of Privilege,Authorization,
Resource Development,Establish Accounts,Spoofing,Authenticity,
Resource Development,Obtain Capabilities,Elevation of Privilege,Authorization,
Resource Development,Stage Capabilities,Tampering,Integrity,
Initial Access,Content Injection,Tampering,Integrity,
Initial Access,Drive-by Compromise,Tampering,Integrity,
Initial Access,Exploit Public-Facing Application,Tampering,Integrity,
Initial Access,External Remote Services,Spoofing,Authenticity,
Initial Access,Hardware Additions,Tampering,Integrity,
Initial Access,Phishing,Spoofing,Authenticity,
Initial Access,Replication Through Removable Media,Tampering,Integrity,
Initial Access,Supply Chain Compromise,Tampering,Integrity,
Initial Access,Trusted Relationship,Spoofing,Authenticity,
Initial Access,Valid Accounts,Elevation of Privilege,Authorization,
Initial Access,WiFi Networks,Spoofing,Authenticity,
Execution,Cloud Administration Command,Elevation of Privilege,Authorization,
Execution,Command and Scripting Interpreter,Tampering,Integrity,
Execution,Container Administration Command,Elevation of Privilege,Authorization,
Execution,Deploy Container,Tampering,Integrity,
Execution,ESXi Administration Command,Elevation of Privilege,Authorization,
Execution,Exploitation for Client Execution,Tampering,Integrity,
Execution,Input Injection,Tampering,Integrity,
Execution,Inter-Process Communication,Tampering,Integrity,
Execution,Native API,Tampering,Integrity,
Execution,Scheduled Task/Job,Tampering,Integrity,
Execution,Serverless Execution,Elevation of Privilege,Authorization,
Execution,Shared Modules,Tampering,Integrity,
Execution,Software Deployment Tools,Elevation of Privilege,Authorization,
Execution,System Services,Tampering,Integrity,
Execution,User Execution,Spoofing,Authenticity,
Execution,Windows Management Instrumentation,Tampering,Integrity,
Persistence,Account Manipulation,Elevation of Privilege,Authorization,
Persistence,BITS Jobs,Tampering,Integrity,
Persistence,Boot or Logon Autostart Execution,Tampering,Integrity,
Persistence,Boot or Logon Initialization Scripts,Tampering,Integrity,
Persistence,Cloud Application Integration,Elevation of Privilege,Authorization,
Persistence,Compromise Host Software Binary,Tampering,Integrity,
Persistence,Create Account,Elevation of Privilege,Authorization,
Persistence,Create or Modify System Process,Tampering,Integrity,
Persistence,Event Triggered Execution,Tampering,Integrity,
Persistence,Exclusive Control,Tampering,Integrity,
Persistence,External Remote Services,Spoofing,Authenticity,
Persistence,Hijack Execution Flow,Tampering,Integrity,
Persistence,Implant Internal Image,Tampering,Integrity,
Persistence,Modify Authentication Process,Elevation of Privilege,Authorization,
Persistence,Modify Registry,Tampering,Integrity,
Persistence,Office Application Startup,Tampering,Integrity,
Persistence,Power Settings,Denial of Service,Availability,
Persistence,Pre-OS Boot,Tampering,Integrity,
Persistence,Scheduled Task/Job,Tampering,Integrity,
Persistence,Server Software Component,Tampering,Integrity,
Persistence,Software Extensions,Tampering,Integrity,
Persistence,Traffic Signaling,Denial of Service,Availability,
Persistence,Valid Accounts,Elevation of Privilege,Authorization,
Privilege Escalation,Abuse Elevation Control Mechanism,Elevation of Privilege,Authorization,
Privilege Escalation,Access Token Manipulation,Elevation of Privilege,Authorization,
Privilege Escalation,Account Manipulation,Elevation of Privilege,Authorization,
Privilege Escalation,Boot or Logon Autostart Execution,Tampering,Integrity,
Privilege Escalation,Boot or Logon Initialization Scripts,Tampering,Integrity,
Privilege Escalation,Create or Modify System Process,Tampering,Integrity,
Privilege Escalation,Domain or Tenant Policy Modification,Tampering,Integrity,
Privilege Escalation,Escape to Host,Elevation of Privilege,Authorization,
Privilege Escalation,Event Triggered Execution,Tampering,Integrity,
Privilege Escalation,Exploitation for Privilege Escalation,Elevation of Privilege,Authorization,
Privilege Escalation,Hijack Execution Flow,Tampering,Integrity,
Privilege Escalation,Process Injection,Tampering,Integrity,
Privilege Escalation,Scheduled Task/Job,Tampering,Integrity,
Privilege Escalation,Valid Accounts,Elevation of Privilege,Authorization,
Defense Evasion,Abuse Elevation Control Mechanism,Elevation of Privilege,Authorization,
Defense Evasion,Access Token Manipulation,Elevation of Privilege,Authorization,
Defense Evasion,BITS Jobs,Tampering,Integrity,
Defense Evasion,Build Image on Host,Tampering,Integrity,
Defense Evasion,Debugger Evasion,Tampering,Integrity,
Defense Evasion,Deobfuscate/Decode Files or Information,Tampering,Integrity,
Defense Evasion,Deploy Container,Tampering,Integrity,
Defense Evasion,Direct Volume Access,Tampering,Integrity,
Defense Evasion,Domain or Tenant Policy Modification,Tampering,Integrity,
Defense Evasion,Email Spoofing,Spoofing,Authenticity,
Defense Evasion,Execution Guardrails,Tampering,Integrity,
Defense Evasion,Exploitation for Defense Evasion,Tampering,Integrity,
Defense Evasion,File and Directory Permissions Modification,Tampering,Integrity,
Defense Evasion,Hide Artifacts,Tampering,Integrity,
Defense Evasion,Hijack Execution Flow,Tampering,Integrity,
Defense Evasion,Impair Defenses,Tampering,Integrity,
Defense Evasion,Impersonation,Spoofing,Authenticity,
Defense Evasion,Indicator Removal,Tampering,Integrity,
Defense Evasion,Indirect Command Execution,Tampering,Integrity,
Defense Evasion,Masquerading,Tampering,Integrity,
Defense Evasion,Modify Authentication Process,Elevation of Privilege,Authorization,
Defense Evasion,Modify Cloud Compute Infrastructure,Tampering,Integrity,
Defense Evasion,Modify Cloud Resource Hierarchy,Tampering,Integrity,
Defense Evasion,Modify Registry,Tampering,Integrity,
Defense Evasion,Modify System Image,Tampering,Integrity,
Defense Evasion,Network Boundary Bridging,Tampering,Integrity,
Defense Evasion,Obfuscated Files or Information,Tampering,Integrity,
Defense Evasion,Plist File Modification,Tampering,Integrity,
Defense Evasion,Pre-OS Boot,Tampering,Integrity,
Defense Evasion,Process Injection,Tampering,Integrity,
Defense Evasion,Reflective Code Loading,Tampering,Integrity,
Defense Evasion,Rogue Domain Controller,Tampering,Integrity,
Defense Evasion,Rootkit,Tampering,Integrity,
Defense Evasion,Subvert Trust Controls,Spoofing,Authenticity,
Defense Evasion,System Binary Proxy Execution,Elevation of Privilege,Authorization,
Defense Evasion,System Script Proxy Execution,Elevation of Privilege,Authorization,
Defense Evasion,Template Injection,Tampering,Integrity,
Defense Evasion,Traffic Signaling,Denial of Service,Availability,
Defense Evasion,Trusted Developer Utilities Proxy Execution,Tampering,Integrity,
Defense Evasion,Unused/Unsupported Cloud Regions,Tampering,Integrity,
Defense Evasion,Use Alternate Authentication Material,Elevation of Privilege,Authorization,
Defense Evasion,Valid Accounts,Elevation of Privilege,Authorization,
Defense Evasion,Virtualization/Sandbox Evasion,Tampering,Integrity,
Defense Evasion,Weaken Encryption,Information Disclosure,Confidentiality,
Defense Evasion,XSL Script Processing,Tampering,Integrity,
Credential Access,Adversary-in-the-Middle,Information Disclosure,Confidentiality,
Credential Access,Brute Force,Spoofing,Authorization,
Credential Access,Credentials from Password Stores,Information Disclosure,Confidentiality,
Credential Access,Exploitation for Credential Access,Information Disclosure,Confidentiality,
Credential Access,Forced Authentication,Information Disclosure,Confidentiality,
Credential Access,Forge Web Credentials,Spoofing,Authorization,
Credential Access,Input Capture,Information Disclosure,Confidentiality,
Credential Access,Modify Authentication Process,Elevation of Privilege,Authorization,
Credential Access,Multi-Factor Authentication Interception,Spoofing,Authenticity,
Credential Access,Multi-Factor Authentication Request Generation,Spoofing,Authenticity,
Credential Access,Network Sniffing,Information Disclosure,Confidentiality,
Credential Access,OS Credential Dumping,Information Disclosure,Confidentiality,
Credential Access,Steal Application Access Token,Information Disclosure,Confidentiality,
Credential Access,Steal or Forge Authentication Certificates,Spoofing,Authenticity,
Credential Access,Steal or Forge Kerberos Tickets,Spoofing,Authenticity,
Credential Access,Steal Web Session Cookie,Information Disclosure,Confidentiality,
Credential Access,Unsecured Credentials,Information Disclosure,Confidentiality,
Discovery,Account Discovery,Information Disclosure,Confidentiality,
Discovery,Application Window Discovery,Information Disclosure,Confidentiality,
Discovery,Browser Information Discovery,Information Disclosure,Confidentiality,
Discovery,Cloud Infrastructure Discovery,Information Disclosure,Confidentiality,
Discovery,Cloud Service Dashboard,Information Disclosure,Confidentiality,
Discovery,Cloud Service Discovery,Information Disclosure,Confidentiality,
Discovery,Cloud Storage Object Discovery,Information Disclosure,Confidentiality,
Discovery,Container and Resource Discovery,Information Disclosure,Confidentiality,
Discovery,Debugger Evasion,Tampering,Integrity,
Discovery,Device Driver Discovery,Information Disclosure,Confidentiality,
Discovery,Domain Trust Discovery,Information Disclosure,Confidentiality,
Discovery,File and Directory Discovery,Information Disclosure,Confidentiality,
Discovery,Group Policy Discovery,Information Disclosure,Confidentiality,
Discovery,Log Enumeration,Information Disclosure,Confidentiality,
Discovery,Network Service Discovery,Information Disclosure,Confidentiality,
Discovery,Network Share Discovery,Information Disclosure,Confidentiality,
Discovery,Network Sniffing,Information Disclosure,Confidentiality,
Discovery,Password Policy Discovery,Information Disclosure,Confidentiality,
Discovery,Peripheral Device Discovery,Information Disclosure,Confidentiality,
Discovery,Permission Groups Discovery,Information Disclosure,Confidentiality,
Discovery,Process Discovery,Information Disclosure,Confidentiality,
Discovery,Query Registry,Information Disclosure,Confidentiality,
Discovery,Remote System Discovery,Information Disclosure,Confidentiality,
Discovery,Software Discovery,Information Disclosure,Confidentiality,
Discovery,System Information Discovery,Information Disclosure,Confidentiality,
Discovery,System Location Discovery,Information Disclosure,Confidentiality,
Discovery,System Network Configuration Discovery,Information Disclosure,Confidentiality,
Discovery,System Network Connections Discovery,Information Disclosure,Confidentiality,
Discovery,System Owner/User Discovery,Information Disclosure,Confidentiality,
Discovery,System Service Discovery,Information Disclosure,Confidentiality,
Discovery,System Time Discovery,Information Disclosure,Confidentiality,
Discovery,Virtual Machine Discovery,Information Disclosure,Confidentiality,
Discovery,Virtualization/Sandbox Evasion,Tampering,Integrity,
Lateral Movement,Exploitation of Remote Services,Tampering,Integrity,
Lateral Movement,Internal Spearphishing,Spoofing,Authenticity,
Lateral Movement,Lateral Tool Transfer,Tampering,Integrity,
Lateral Movement,Remote Service Session Hijacking,Spoofing,Authenticity,
Lateral Movement,Remote Services,Spoofing,Authenticity,
Lateral Movement,Replication Through Removable Media,Tampering,Integrity,
Lateral Movement,Software Deployment Tools,Tampering,Integrity,
Lateral Movement,Taint Shared Content,Tampering,Integrity,
Lateral Movement,Use Alternate Authentication Material,Spoofing,Authenticity,
Collection,Adversary-in-the-Middle,Spoofing,Authenticity,
Collection,Archive Collected Data,Information Disclosure,Confidentiality,
Collection,Audio Capture,Information Disclosure,Confidentiality,
Collection,Automated Collection,Information Disclosure,Confidentiality,
Collection,Browser Session Hijacking,Tampering,Integrity,
Collection,Clipboard Data,Information Disclosure,Confidentiality,
Collection,Data from Cloud Storage,Information Disclosure,Confidentiality,
Collection,Data from Configuration Repository,Information Disclosure,Confidentiality,
Collection,Data from Information Repositories,Information Disclosure,Confidentiality,
Collection,Data from Local System,Information Disclosure,Confidentiality,
Collection,Data from Network Shared Drive,Information Disclosure,Confidentiality,
Collection,Data from Removable Media,Information Disclosure,Confidentiality,
Collection,Data Staged,Information Disclosure,Confidentiality,
Collection,Email Collection,Information Disclosure,Confidentiality,
Collection,Input Capture,Information Disclosure,Confidentiality,
Collection,Screen Capture,Information Disclosure,Confidentiality,
Collection,Video Capture,Information Disclosure,Confidentiality,
Command and Control,Application Layer Protocol,Denial of Service,Availability,
Command and Control,Communication Through Removable Media,Tampering,Integrity,
Command and Control,Content Injection,Tampering,Integrity,
Command and Control,Data Encoding,Tampering,Integrity,
Command and Control,Data Obfuscation,Tampering,Integrity,
Command and Control,Dynamic Resolution,Tampering,Integrity,
Command and Control,Encrypted Channel,Information Disclosure,Confidentiality,
Command and Control,Fallback Channels,Denial of Service,Availability,
Command and Control,Hide Infrastructure,Tampering,Integrity,
Command and Control,Ingress Tool Transfer,Tampering,Integrity,
Command and Control,Multi-Stage Channels,Tampering,Integrity,
Command and Control,Non-Application Layer Protocol,Tampering,Integrity,
Command and Control,Non-Standard Port,Tampering,Integrity,
Command and Control,Protocol Tunneling,Tampering,Integrity,
Command and Control,Proxy,Tampering,Integrity,
Command and Control,Remote Access Software,Spoofing,Authenticity,
Command and Control,Traffic Signaling,Tampering,Integrity,
Command and Control,Web Service,Tampering,Integrity,
Exfiltration,Automated Exfiltration,Information Disclosure,Confidentiality,
Exfiltration,Data Transfer Size Limits,Information Disclosure,Confidentiality,
Exfiltration,Exfiltration Over Alternative Protocol,Information Disclosure,Confidentiality,
Exfiltration,Exfiltration Over C2 Channel,Information Disclosure,Confidentiality,
Exfiltration,Exfiltration Over Other Network Medium,Information Disclosure,Confidentiality,
Exfiltration,Exfiltration Over Physical Medium,Information Disclosure,Confidentiality,
Exfiltration,Exfiltration Over Web Service,Information Disclosure,Confidentiality,
Exfiltration,Scheduled Transfer,Information Disclosure,Confidentiality,
Exfiltration,Transfer Data to Cloud Account,Information Disclosure,Confidentiality,
Impact,Account Access Removal,Denial of Service,Availability,
Impact,Data Destruction,Denial of Service,Availability,
Impact,Data Encrypted for Impact,Denial of Service,Availability,
Impact,Data Manipulation,Tampering,Integrity,
Impact,Defacement,Tampering,Integrity,
Impact,Disk Wipe,Denial of Service,Availability,
Impact,Email Bombing,Denial of Service,Availability,
Impact,Endpoint Denial of Service,Denial of Service,Availability,
Impact,Financial Theft,Denial of Service,Availability,
Impact,Firmware Corruption,Denial of Service,Availability,
Impact,Inhibit System Recovery,Denial of Service,Availability,
Impact,Network Denial of Service,Denial of Service,Availability,
Impact,Resource Hijacking,Denial of Service,Availability,
Impact,Service Stop,Denial of Service,Availability,
Impact,System Shutdown/Reboot,Denial of Service,Availability,
